"b_cost","mu_stsquo","mu_advisory","mu_catch_per_trip","mu_wqi","mu_proportion","mu_weed","sigma_stsquo","sigma_advisory","sigma_catch_per_trip","sigma_wqi","sigma_proportion","sigma_weed","logLike"
-1.88469114310557,-1.98744554554167,-2.05607421772927,0.113684769073452,3.52598386270893,-1.66384023372318,-0.923351045363045,3.86410436398342,1.860924639815,2.06967648749535,3.56190933903033,3.16627243278357,2.00755461976652,-4194.87390699954
-1.61744907289898,-1.64375740558611,-2.3592429560544,0.141152685534766,3.63073134982848,-1.75211848432162,-0.77373326079408,3.24359882546372,2.0673937463916,1.97807744621468,2.94230917560299,2.11975406907373,1.76429263798187,-4149.39248722681
-1.39407220688259,-1.40221829312612,-1.70140813853871,0.326890046931269,2.7307240221282,-2.48873832384136,-0.892073912374737,2.91655846122774,1.99875323102114,1.74636069317677,2.40980727552054,0.937310768259723,1.5970440070302,-4104.94309881145
-0.785288110483191,-1.21575091598398,-0.849139731374285,0.178406255471321,1.58224869230322,-0.808950289864343,-0.721400491520541,2.10707456441726,1.57582604746463,1.16017126656911,1.83703790394991,0.418863543446201,1.04913881769169,-3977.71985619699
-0.725706290120474,-0.922107548685878,-0.819921229930057,0.0798036417241143,1.45757762569528,-0.851638189352477,-0.554855813175209,2.15489592902883,1.41787630711428,1.02768852470515,1.76791755665401,0.484557440350961,1.00938078459555,-3942.36927412824
-0.741127496209221,-0.967255682269364,-0.879424670305279,0.0629666860750068,1.39993649280069,-0.982825161974194,-0.417021053687887,2.20126744174983,1.24150788790214,0.943553203818434,1.7825201002753,1.09832303778118,1.00690085193673,-3904.83936409915
-0.740799483572885,-0.870791028453885,-0.888683952366941,0.0579124158860731,1.40204593951705,-0.99499477098213,-0.384194103808884,2.27827697412299,1.14464182758279,0.897809159940092,1.73138258384623,1.70921457370833,0.947596461561695,-3890.13462870517
-0.718047879204282,-0.853158619314435,-0.87479226377868,0.069762802363778,1.40448651554291,-0.975911619373787,-0.360346407779447,2.2556178969535,1.06341934185544,0.863464557222794,1.66227943557436,1.67689323615964,0.921793039945941,-3887.20330481906
-0.6998678751561,-0.820468113892997,-0.968840089674296,0.0883052762452314,1.36122733963991,-0.975581831850035,-0.352268140329935,2.35926474987045,0.868912235546728,0.796012707317945,1.31397192512334,1.59109601236841,0.880469632345997,-3883.36441031883
-0.714162988998764,-0.936605466230719,-0.84172825326677,0.113639241389766,1.42467674679329,-0.994622255512638,-0.328266993643858,2.37976713772217,0.882799209399635,0.693473222678507,1.40631378243859,1.49652659293994,0.829104217781834,-3882.2363280831
-0.694512438150271,-0.930845952418018,-0.91987881946973,0.059223789398257,1.35341348296881,-1.00891234024265,-0.338091761699732,2.33709402100326,0.946816409025392,0.74840626390264,1.46675288459127,1.4689729284667,0.80795450272906,-3880.86193028966
-0.721066316540925,-0.943175085084044,-0.94347584927224,0.112310662180532,1.38479560537362,-0.983383741755028,-0.378303425273567,2.43273209628595,0.954249634285641,0.821852892531259,1.4669870157852,1.57214246459543,0.926260929574058,-3879.98853312087
-0.704413783238517,-0.957754361371085,-0.915905173213772,0.0896204406543589,1.39703146919412,-1.00832721183955,-0.359463536747954,2.45160862363209,0.923684070005182,0.765625545690183,1.38668943074131,1.53312254278053,0.87592390536828,-3878.47159621358
